Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Oct 16, 2015;Oct 17, 2015;1,487,050.25;1,380,132.25;21,446.50
Oct 17, 2015;Oct 18, 2015;1,259,580.50;1,200,872.50;14,477.75
Oct 18, 2015;Oct 19, 2015;1,155,736.25;1,095,423.75;21,036.25
Oct 19, 2015;Oct 20, 2015;1,460,230.75;1,400,658.00;19,187.75
Oct 20, 2015;Oct 21, 2015;1,490,949.50;1,429,468.75;20,242.50
Oct 21, 2015;Oct 22, 2015;1,486,456.25;1,329,344.00;20,909.00
Oct 22, 2015;Oct 23, 2015;1,495,807.50;1,200,380.25;18,625.50
Oct 23, 2015;Oct 24, 2015;1,455,423.00;1,208,904.50;17,891.50
Oct 24, 2015;Oct 25, 2015;1,245,788.50;1,047,175.25;19,895.00
Oct 25, 2015;Oct 26, 2015;1,197,595.50;1,035,570.75;21,357.25
Oct 26, 2015;Oct 27, 2015;1,438,709.25;1,226,058.50;21,387.50
Oct 27, 2015;Oct 28, 2015;1,483,668.25;1,255,548.00;19,635.75
Oct 28, 2015;Oct 29, 2015;1,495,979.25;1,279,130.25;21,339.00
Oct 29, 2015;Oct 30, 2015;1,486,544.25;1,421,691.75;18,408.50
Oct 30, 2015;Oct 31, 2015;1,464,909.50;1,345,527.25;23,075.75
Oct 31, 2015;Nov 1, 2015;1,227,707.75;968,255.00;21,359.00
Nov 1, 2015;Nov 2, 2015;1,143,829.75;973,321.00;21,388.25
Nov 2, 2015;Nov 3, 2015;1,459,486.25;1,342,274.50;15,694.75
Nov 3, 2015;Nov 4, 2015;1,501,974.00;1,394,385.25;20,483.00
Nov 4, 2015;Nov 5, 2015;1,501,964.25;1,355,944.25;19,729.00
Nov 5, 2015;Nov 6, 2015;1,480,819.00;1,311,288.50;20,556.25
Nov 6, 2015;Nov 7, 2015;1,462,573.50;1,211,360.50;18,717.50
Nov 7, 2015;Nov 8, 2015;1,266,163.75;897,713.25;21,555.50
Nov 8, 2015;Nov 9, 2015;1,150,594.25;759,375.75;26,980.75
Nov 9, 2015;Nov 10, 2015;1,480,767.00;876,282.00;25,734.25
Nov 10, 2015;Nov 11, 2015;1,518,108.00;890,559.50;24,888.75
Nov 11, 2015;Nov 12, 2015;1,507,564.25;1,072,280.50;23,114.00
